"courseName"	"courseCode"	"minusThree_Grade"	"zero_Grade"	"two_Grade"	"four_Grade"	"seven_Grade"	"ten_Grade"	"twelve_Grade"
"Algoritmer og datastrukturer"	"NDAA04011E"	9	30	62	42	44	28	18
"IT-sikkerhed"	"NDAA09025E"	1	3	11	13	17	10	2
"Interaktionsdesign"	"NDAB15003E"	0	3	11	38	69	38	5
"Softwareudvikling"	"NDAB15011E"	0	5	4	19	34	32	35
"Computersystemer"	"NDAB16005E"	1	24	14	13	35	19	9
"Implementering af programmeringssprog"	"NDAB16006E"	4	18	18	15	15	9	7
"Modelling and Analysis of Data"	"NDAB16012E"	0	5	9	8	23	35	31
"Matematisk analyse og sandsynlighedsteori for dataloger"	"NDAB18002E"	0	33	8	20	20	11	9
"Databases and Information Systems"	"NDAB21010E"	6	46	46	35	55	24	11
"Lineær algebra i datalogi"	"NMAB15002E"	34	18	30	68	71	47	29
"Datalogiens videnskabsteori"	"NNDB19000E"	0	6	16	49	61	51	8



INSERT INTO course VALUES ('NDAA09025E', 'IT-sikkerhed', 7.5);
INSERT INTO course VALUES ('NDAB15003E', 'Interaktionsdesign', 7.5);
INSERT INTO course VALUES ('NDAB15011E', 'Softwareudvikling', 15.0);
INSERT INTO course VALUES ('NDAB16005E', 'Computersystemer', 15.0);
INSERT INTO course VALUES ('NDAB16006E', 'Implementering af programmeringssprog', 7.5);
INSERT INTO course VALUES ('NDAB16012E', 'Modelling and Analysis of Data', 7.5);
INSERT INTO course VALUES ('NDAB18002E', 'Matematisk analyse og sandsynlighedsteori for dataloger', 7.5);
INSERT INTO course VALUES ('NDAB21010E', 'Databases and Information Systems', 7.5);
INSERT INTO course VALUES ('NMAB15002E', 'Lineær algebra i datalogi', 7.5);
INSERT INTO course VALUES ('NNDB19000E', 'Datalogiens videnskabsteori', 7.5);
